adp_rank,name,position,team,adp,adp_formatted,high,low,stdev,times_drafted,bye,source,scoring,league_size,total_drafts,sample_start,sample_end,snapshot_date
189,Hunter Henry,TE,NE,157.3,14.01,105,180,20.0,86,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
190,Chris Rodriguez Jr.,RB,JAX,157.6,14.02,102,203,21.2,211,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
191,Chris Boswell,PK,PIT,157.7,14.02,136,202,13.8,49,9,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
192,Buffalo Defense,DEF,BUF,158.4,14.02,120,200,14.4,558,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
193,AJ Barner,TE,SEA,158.6,14.03,120,179,14.7,14,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
194,Jordan James,RB,SF,158.6,14.03,135,174,16.6,5,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
195,Dalton Schultz,TE,HOU,158.6,14.03,83,192,29.1,22,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
196,Daniel Jones,QB,IND,158.7,14.03,118,180,15.7,166,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
197,Will Reichard,PK,MIN,158.8,14.03,110,203,18.7,88,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
198,Tank Dell,WR,HOU,158.8,14.03,120,180,14.9,202,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
199,C.J. Stroud,QB,HOU,159.4,14.03,125,180,13.2,131,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
200,Trey Smack,PK,GB,159.4,14.03,138,177,17.2,14,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
201,Dylan Sampson,RB,CLE,159.6,14.04,112,187,18.2,67,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
202,Ja'Kobi Lane,WR,BAL,159.8,14.04,113,205,18.0,55,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
203,Fernando Mendoza,QB,LV,160.1,14.04,120,201,24.2,16,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
